Metrics,Crema,Madmom,CREMA0.41,CREMA0.43,CREMA0.42
root,0.7789570577494805,0.772843753964859,0.7772591516499527,0.7771313460736111,0.7771517761577039
majmin,0.763661018083838,0.762310935383051,0.7620346563602325,0.7619524529596864,0.7619385099698703
majminbass,0.7418920885436824,0.721246916346815,0.7402448549758421,0.7402290913307095,0.7401650272879488
sevenths,0.6623723594735962,0.6179892985274665,0.6601226542300062,0.6601045538870585,0.6600557728191722
seventhsbass,0.6436191227372813,0.582247777460505,0.6413551838105587,0.6413898529529367,0.641298007035175
segmentation,0.7861233373668334,0.7971968756375075,0.7847623997788251,0.7847926422627391,0.784813007810329
oversegmentation,0.9032916820807413,0.8573493266018205,0.9047169125978126,0.9045969014398421,0.9047305861781824
undersegmentation,0.7910245098450803,0.8208421966435792,0.7896345861963343,0.7896387120025623,0.7896773243723152
triads,0.7119027368543532,0.7042778389605397,0.7104422425122879,0.7103506543933366,0.7103374959469405
triadsbass,0.6915369196988087,0.6663399356149153,0.6900564358968558,0.6900262296172454,0.6899667657261607
tetrads,0.6074769178627206,0.5591411844144892,0.6054676009821012,0.6054244513355361,0.6053800385449157
tetradsbass,0.5894354559380587,0.526803154500743,0.587442565172191,0.5874582902538504,0.5873749134694791
